sample_id,prediction_date,regime_bucket,research_scope,independent_news_source_count,fundamental_ticker_coverage,fundamental_coverage_state,event_evidence_ready,fundamental_evidence_ready,eligible_for_full_kg_backtest,kg_backtest_state,future_return_1d,future_return_5d,future_return_20d,future_max_drawdown_20d
HIST-20090708,2009-07-08,高波動／壓力,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.0017288635375334316,0.06367112218977855,0.14462700337924628,0.0017288635375334316
HIST-20090709,2009-07-09,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.004314128380304982,0.07448960592962695,0.13258538445166712,0.004314128380304982
HIST-20090710,2009-07-10,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.019186800341419286,0.07560107307169517,0.14203912046323164,0.019186800341419286
HIST-20090721,2009-07-21,正常／溫和上漲,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.008381044023243245,0.023571859630222347,0.022262292615782053,0.007857171000173357
HIST-20090807,2009-08-07,正常／溫和上漲,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.007021469047295836,-0.006269378176046336,0.012035776915179763,-0.03510568596848873
HIST-20090819,2009-08-19,正常／溫和上漲,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.01170412105887575,0.02544468823976498,0.07913471132629746,-0.001273143639944796
HIST-20090831,2009-08-31,橫盤／低波動,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.018735790648800488,0.017736796805864596,0.055729750400313804,-0.01948561459886511
HIST-20090915,2009-09-15,正常／溫和上漲,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.014589727998369106,0.021078060995648018,0.01940232507567563,-0.021297314190566907
HIST-20091002,2009-10-02,正常／溫和上漲,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.008072529541723661,0.03913859957206833,0.001956816780563697,0.001956816780563697
HIST-20091008,2009-10-08,橫盤／低波動,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.005681649227674557,0.01941328403081477,0.002604032713695581,-0.0303029986858806
