date,ticker,candidate_score,candidate_label,topic,risk_flags,observation_reason,sample_headline,entry_price,horizon,horizon_days,validated_at,actual_return,qqq_return,relative_qqq_return,success
2026-05-26,EPAM,0.0,低優先或資料不足,醫療科技,低於50DMA,新聞提及 1 次，量價訊號尚需確認。,EPAM Systems Targets Biotech Growth As Shares Trade Below Valuation Estimates - Yahoo! Finance Canada,99.69000244140625,20D,20,,,,,
2026-05-26,EPAM,0.0,低優先或資料不足,醫療科技,低於50DMA,新聞提及 1 次，量價訊號尚需確認。,EPAM Systems Targets Biotech Growth As Shares Trade Below Valuation Estimates - Yahoo! Finance Canada,99.69000244140625,60D,60,,,,,
2026-05-26,RCAT,0.0,低優先或資料不足,國防/航太,低於50DMA,新聞提及 1 次，量價訊號尚需確認。,A Look At Red Cat Holdings (RCAT) Valuation After New Defense Drone Contracts And AI Deployment News - simplywall.st,9.770000457763672,5D,5,2026-06-02,0.5301943816579056,0.021745006313462767,0.5084493753444428,True
2026-05-26,RCAT,0.0,低優先或資料不足,國防/航太,低於50DMA,新聞提及 1 次，量價訊號尚需確認。,A Look At Red Cat Holdings (RCAT) Valuation After New Defense Drone Contracts And AI Deployment News - simplywall.st,9.770000457763672,20D,20,,,,,
2026-05-26,RCAT,0.0,低優先或資料不足,國防/航太,低於50DMA,新聞提及 1 次，量價訊號尚需確認。,A Look At Red Cat Holdings (RCAT) Valuation After New Defense Drone Contracts And AI Deployment News - simplywall.st,9.770000457763672,60D,60,,,,,
2026-05-26,AZTA,0.0,低優先或資料不足,醫療科技,短線漲幅過大；低於50DMA,題材熱但短線漲幅偏大，等待回檔或量價整理。,Winners And Losers Of Q1: Azenta (NASDAQ:AZTA) Vs The Rest Of The Drug Development Inputs & Services Stocks - StockStory,20.5,5D,5,2026-06-02,0.14292684415491608,0.021745006313462767,0.12118183784145331,True
2026-05-26,AZTA,0.0,低優先或資料不足,醫療科技,短線漲幅過大；低於50DMA,題材熱但短線漲幅偏大，等待回檔或量價整理。,Winners And Losers Of Q1: Azenta (NASDAQ:AZTA) Vs The Rest Of The Drug Development Inputs & Services Stocks - StockStory,20.5,20D,20,,,,,
2026-05-26,AZTA,0.0,低優先或資料不足,醫療科技,短線漲幅過大；低於50DMA,題材熱但短線漲幅偏大，等待回檔或量價整理。,Winners And Losers Of Q1: Azenta (NASDAQ:AZTA) Vs The Rest Of The Drug Development Inputs & Services Stocks - StockStory,20.5,60D,60,,,,,
2026-05-27,ON,96.21764998777925,高優先觀察,半導體設備,未觸發主要風險,新聞提及 1 次，且價格站上 50DMA，值得加入觀察清單。,"ON Stock Price, Quote & Chart | ON SEMICONDUCTOR (NASDAQ:ON) - ChartMill",124.88999938964844,5D,5,2026-06-03,0.07238364424943766,0.020234436244598752,0.05214920800483891,True
2026-05-27,ON,96.21764998777925,高優先觀察,半導體設備,未觸發主要風險,新聞提及 1 次，且價格站上 50DMA，值得加入觀察清單。,"ON Stock Price, Quote & Chart | ON SEMICONDUCTOR (NASDAQ:ON) - ChartMill",124.88999938964844,20D,20,,,,,
